id,province,newspaper,newspaper_url
74,AYDIN,Yeni Kıroba,https://www.bik.gov.tr/yerel-gazeteler/aydin/tumu/yeni-kiroba/
75,BALIKESİR,Balıkesir Birlik,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/balikesir-birlik/
76,BALIKESİR,Balıkesir Ekspres,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/balikesir-ekspres/
77,BALIKESİR,Balıkesir Politika,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/balikesir-politika/
78,BALIKESİR,Banses,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/banses/
79,BALIKESİR,Büyükşehir Merhaba,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/buyuksehir-merhaba/
80,BALIKESİR,Demokrat,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/demokrat/
81,BALIKESİR,Ege Gündem,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/ege-gundem/
82,BALIKESİR,Erdek Doğuş,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/erdek-dogus/
83,BALIKESİR,Genç Bayrak,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/genc-bayrak/
84,BALIKESİR,Gönen Postası,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/gonen-postasi/
85,BALIKESİR,Haberci,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/haberci/
86,BALIKESİR,Körfez Demokrat,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/korfez-demokrat/
87,BALIKESİR,Körfez Star,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/korfez-star/
88,BALIKESİR,Marmara Bölge,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/marmara-bolge/
89,BALIKESİR,Sözcü,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/sozcu/
90,BALIKESİR,Yaşam,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/yasam/
91,BALIKESİR,Yeni Erdek,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/yeni-erdek/
92,BALIKESİR,Yeni Gazetem,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/yeni-gazetem/
93,BALIKESİR,Yenisöz,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/yenisoz/
94,BALIKESİR,Zeytin Efe,https://www.bik.gov.tr/yerel-gazeteler/balikesir/tumu/zeytin-efe/
95,BARTIN,Bartın Halk,https://www.bik.gov.tr/yerel-gazeteler/bartin/tumu/bartin-halk/
96,BARTIN,Bartın Hergün,https://www.bik.gov.tr/yerel-gazeteler/bartin/tumu/bartin-hergun/
97,BARTIN,Bartın Pusula,https://www.bik.gov.tr/yerel-gazeteler/bartin/tumu/bartin-pusula/
98,BATMAN,Batman,https://www.bik.gov.tr/yerel-gazeteler/batman/tumu/batman/
99,BATMAN,Batman Çağdaş,https://www.bik.gov.tr/yerel-gazeteler/batman/tumu/batman-cagdas/
100,BATMAN,Batman Pusula,https://www.bik.gov.tr/yerel-gazeteler/batman/tumu/batman-pusula/
101,BATMAN,Batman Rehber,https://www.bik.gov.tr/yerel-gazeteler/batman/tumu/batman-rehber/
102,BATMAN,Batman Sonsöz,https://www.bik.gov.tr/yerel-gazeteler/batman/tumu/batman-sonsoz/
103,BAYBURT,Bayburt Havadis,https://www.bik.gov.tr/yerel-gazeteler/bayburt/tumu/bayburt-havadis/
104,BAYBURT,Bayburt Sıla,https://www.bik.gov.tr/yerel-gazeteler/bayburt/tumu/bayburt-sila/
105,BAYBURT,Çoruh Haber,https://www.bik.gov.tr/yerel-gazeteler/bayburt/tumu/coruh-haber/
106,BİLECİK,Değişim,https://www.bik.gov.tr/yerel-gazeteler/bilecik/tumu/degisim/
107,BİLECİK,Gündem 11,https://www.bik.gov.tr/yerel-gazeteler/bilecik/tumu/gundem-11/
108,BİLECİK,Sakarya,https://www.bik.gov.tr/yerel-gazeteler/bilecik/tumu/sakarya/
109,BİLECİK,Yarın,https://www.bik.gov.tr/yerel-gazeteler/bilecik/tumu/yarin/
110,BİLECİK,Yeni Bozüyük,https://www.bik.gov.tr/yerel-gazeteler/bilecik/tumu/yeni-bozuyuk/
111,BİNGÖL,Ajans 12,https://www.bik.gov.tr/yerel-gazeteler/bingol/tumu/ajans-12/
112,BİNGÖL,Bingöl,https://www.bik.gov.tr/yerel-gazeteler/bingol/tumu/bingol/
113,BİNGÖL,Bingöl Olay,https://www.bik.gov.tr/yerel-gazeteler/bingol/tumu/bingol-olay/
114,BİNGÖL,Bingöl Online,https://www.bik.gov.tr/yerel-gazeteler/bingol/tumu/bingol-online/
115,BİNGÖL,Bingöl Sürmanşet,https://www.bik.gov.tr/yerel-gazeteler/bingol/tumu/bingol-surmanset/
116,BİNGÖL,Bingöl'ün Sesi,https://www.bik.gov.tr/yerel-gazeteler/bingol/tumu/bingol-un-sesi/
117,BİNGÖL,Çapakçur,https://www.bik.gov.tr/yerel-gazeteler/bingol/tumu/capakcur/
118,BİTLİS,Ahlat Selçuklu,https://www.bik.gov.tr/yerel-gazeteler/bitlis/tumu/ahlat-selcuklu/
119,BİTLİS,Beşminare,https://www.bik.gov.tr/yerel-gazeteler/bitlis/tumu/besminare/
120,BİTLİS,Dideban,https://www.bik.gov.tr/yerel-gazeteler/bitlis/tumu/dideban/
121,BİTLİS,Doğru Haber,https://www.bik.gov.tr/yerel-gazeteler/bitlis/tumu/dogru-haber/
122,BİTLİS,Mutki Haber,https://www.bik.gov.tr/yerel-gazeteler/bitlis/tumu/mutki-haber/
123,BİTLİS,Şark,https://www.bik.gov.tr/yerel-gazeteler/bitlis/tumu/sark/
124,BİTLİS,Tatvan Sesi,https://www.bik.gov.tr/yerel-gazeteler/bitlis/tumu/tatvan-sesi/
125,BİTLİS,Yeni Bitlis,https://www.bik.gov.tr/yerel-gazeteler/bitlis/tumu/yeni-bitlis/
126,BOLU,Bolu Takip,https://www.bik.gov.tr/yerel-gazeteler/bolu/tumu/bolu-takip/
127,BOLU,Olay Gündem,https://www.bik.gov.tr/yerel-gazeteler/bolu/tumu/olay-gundem/
128,BURDUR,Burdur,https://www.bik.gov.tr/yerel-gazeteler/burdur/tumu/burdur/
129,BURDUR,Çağdaş Burdur,https://www.bik.gov.tr/yerel-gazeteler/burdur/tumu/cagdas-burdur/
130,BURDUR,Hedef,https://www.bik.gov.tr/yerel-gazeteler/burdur/tumu/hedef/
131,BURDUR,Oğuzeli,https://www.bik.gov.tr/yerel-gazeteler/burdur/tumu/oguzeli/
132,BURDUR,Ses 15,https://www.bik.gov.tr/yerel-gazeteler/burdur/tumu/ses-15/
133,BURDUR,Yenigün,https://www.bik.gov.tr/yerel-gazeteler/burdur/tumu/yenigun/
134,BURSA,A Gazete,https://www.bik.gov.tr/yerel-gazeteler/bursa/tumu/a-gazete/
135,BURSA,Bursa Haber,https://www.bik.gov.tr/yerel-gazeteler/bursa/tumu/bursa-haber/
136,BURSA,Bursa Hakimiyet,https://www.bik.gov.tr/yerel-gazeteler/bursa/tumu/bursa-hakimiyet/
137,BURSA,Bursa Hayat,https://www.bik.gov.tr/yerel-gazeteler/bursa/tumu/bursa-hayat/
138,BURSA,Bursa Sancak,https://www.bik.gov.tr/yerel-gazeteler/bursa/tumu/bursa-sancak/
139,BURSA,Bursa Şehir,https://www.bik.gov.tr/yerel-gazeteler/bursa/tumu/bursa-sehir/
140,BURSA,Bursa'da Meydan,https://www.bik.gov.tr/yerel-gazeteler/bursa/tumu/bursa-da-meydan/
141,BURSA,Gazete Bursa,https://www.bik.gov.tr/yerel-gazeteler/bursa/tumu/gazete-bursa/
142,BURSA,Genç Gazete,https://www.bik.gov.tr/yerel-gazeteler/bursa/tumu/genc-gazete/
143,BURSA,İnegöl Yıldırım,https://www.bik.gov.tr/yerel-gazeteler/bursa/tumu/inegol-yildirim/
144,BURSA,Karacabey Haber,https://www.bik.gov.tr/yerel-gazeteler/bursa/tumu/karacabey-haber/
145,BURSA,Kent,https://www.bik.gov.tr/yerel-gazeteler/bursa/tumu/kent/
146,BURSA,Okur,https://www.bik.gov.tr/yerel-gazeteler/bursa/tumu/okur/
147,BURSA,Olay,https://www.bik.gov.tr/yerel-gazeteler/bursa/tumu/olay/
148,BURSA,Yeni Dönem,https://www.bik.gov.tr/yerel-gazeteler/bursa/tumu/yeni-donem/
149,BURSA,Yeni Marmara,https://www.bik.gov.tr/yerel-gazeteler/bursa/tumu/yeni-marmara/
150,BURSA,Yeni Tuna,https://www.bik.gov.tr/yerel-gazeteler/bursa/tumu/yeni-tuna/
151,BURSA,Yenişehir Yörem,https://www.bik.gov.tr/yerel-gazeteler/bursa/tumu/yenisehir-yorem/
152,ÇANAKKALE,Boğaz,https://www.bik.gov.tr/yerel-gazeteler/canakkale/tumu/bogaz/
153,ÇANAKKALE,Boğaz Vitamin,https://www.bik.gov.tr/yerel-gazeteler/canakkale/tumu/bogaz-vitamin/
154,ÇANAKKALE,Burası Çanakkale,https://www.bik.gov.tr/yerel-gazeteler/canakkale/tumu/burasi-canakkale/
155,ÇANAKKALE,Çanakkale Gündem,https://www.bik.gov.tr/yerel-gazeteler/canakkale/tumu/canakkale-gundem/
156,ÇANAKKALE,Çanakkale Olay,https://www.bik.gov.tr/yerel-gazeteler/canakkale/tumu/canakkale-olay/
157,ÇANAKKALE,İşte Çanakkale,https://www.bik.gov.tr/yerel-gazeteler/canakkale/tumu/iste-canakkale/
158,ÇANAKKALE,Kalem,https://www.bik.gov.tr/yerel-gazeteler/canakkale/tumu/kalem/
159,ÇANAKKALE,Kalenin Sesi,https://www.bik.gov.tr/yerel-gazeteler/canakkale/tumu/kalenin-sesi/
160,ÇANKIRI,Bizim Çankırı,https://www.bik.gov.tr/yerel-gazeteler/cankiri/tumu/bizim-cankiri/
161,ÇANKIRI,Çankırı'da Yeni Gün,https://www.bik.gov.tr/yerel-gazeteler/cankiri/tumu/cankiri-da-yeni-gun/
162,ÇANKIRI,Doğruyol,https://www.bik.gov.tr/yerel-gazeteler/cankiri/tumu/dogruyol/
163,ÇANKIRI,Karatekin,https://www.bik.gov.tr/yerel-gazeteler/cankiri/tumu/karatekin/
164,ÇORUM,Çorum Haber,https://www.bik.gov.tr/yerel-gazeteler/corum/tumu/corum-haber/
165,ÇORUM,Çorum Hakimiyet,https://www.bik.gov.tr/yerel-gazeteler/corum/tumu/corum-hakimiyet/
166,ÇORUM,Kesin Karar,https://www.bik.gov.tr/yerel-gazeteler/corum/tumu/kesin-karar/
167,DENİZLİ,Deha 20,https://www.bik.gov.tr/yerel-gazeteler/denizli/tumu/deha-20/
168,DENİZLİ,Horoz,https://www.bik.gov.tr/yerel-gazeteler/denizli/tumu/horoz/
169,DENİZLİ,Yeni Olay,https://www.bik.gov.tr/yerel-gazeteler/denizli/tumu/yeni-olay/
170,DİYARBAKIR,Bismil Haber,https://www.bik.gov.tr/yerel-gazeteler/diyarbakir/tumu/bismil-haber/
171,DİYARBAKIR,Diyarbakır Olay,https://www.bik.gov.tr/yerel-gazeteler/diyarbakir/tumu/diyarbakir-olay/
172,DİYARBAKIR,Diyarbakır Özgür Haber,https://www.bik.gov.tr/yerel-gazeteler/diyarbakir/tumu/diyarbakir-ozgur-haber/
173,DİYARBAKIR,Diyarbakır Söz,https://www.bik.gov.tr/yerel-gazeteler/diyarbakir/tumu/diyarbakir-soz/
174,DİYARBAKIR,Diyarbakır Yenigün,https://www.bik.gov.tr/yerel-gazeteler/diyarbakir/tumu/diyarbakir-yenigun/
175,DİYARBAKIR,Ge Güneydoğu Ekspres,https://www.bik.gov.tr/yerel-gazeteler/diyarbakir/tumu/ge-guneydogu-ekspres/
176,DİYARBAKIR,Mücadele,https://www.bik.gov.tr/yerel-gazeteler/diyarbakir/tumu/mucadele/
177,DİYARBAKIR,Öz Diyarbakır,https://www.bik.gov.tr/yerel-gazeteler/diyarbakir/tumu/oz-diyarbakir/
178,DİYARBAKIR,Tigris Haber,https://www.bik.gov.tr/yerel-gazeteler/diyarbakir/tumu/tigris-haber/
179,DÜZCE,Düzce Damla,https://www.bik.gov.tr/yerel-gazeteler/duzce/tumu/duzce-damla/
180,DÜZCE,Düzce Parantez,https://www.bik.gov.tr/yerel-gazeteler/duzce/tumu/duzce-parantez/
181,DÜZCE,Düzce Postası,https://www.bik.gov.tr/yerel-gazeteler/duzce/tumu/duzce-postasi/
182,DÜZCE,Düzcenin Sesi,https://www.bik.gov.tr/yerel-gazeteler/duzce/tumu/duzcenin-sesi/
183,DÜZCE,Günaydın Düzce,https://www.bik.gov.tr/yerel-gazeteler/duzce/tumu/gunaydin-duzce/
184,EDİRNE,Edirne Haber,https://www.bik.gov.tr/yerel-gazeteler/edirne/tumu/edirne-haber/
185,EDİRNE,Edirne'nin Sesi,https://www.bik.gov.tr/yerel-gazeteler/edirne/tumu/edirne-nin-sesi/
186,ELAZIĞ,Elazığ Hakimiyet,https://www.bik.gov.tr/yerel-gazeteler/elazig/tumu/elazig-hakimiyet/
187,ELAZIĞ,Fırat,https://www.bik.gov.tr/yerel-gazeteler/elazig/tumu/firat/
188,ELAZIĞ,Günışığı,https://www.bik.gov.tr/yerel-gazeteler/elazig/tumu/gunisigi/
189,ELAZIĞ,Haberkent,https://www.bik.gov.tr/yerel-gazeteler/elazig/tumu/haberkent/
190,ERZİNCAN,Kazankaya,https://www.bik.gov.tr/yerel-gazeteler/erzincan/tumu/kazankaya/
191,ERZİNCAN,Özsöz,https://www.bik.gov.tr/yerel-gazeteler/erzincan/tumu/ozsoz/
192,ERZURUM,Günebakış,https://www.bik.gov.tr/yerel-gazeteler/erzurum/tumu/gunebakis/
193,ERZURUM,Milletin Sesi,https://www.bik.gov.tr/yerel-gazeteler/erzurum/tumu/milletin-sesi/
194,ERZURUM,Pusula,https://www.bik.gov.tr/yerel-gazeteler/erzurum/tumu/pusula/
195,ERZURUM,Yenigün,https://www.bik.gov.tr/yerel-gazeteler/erzurum/tumu/yenigun/
196,ESKİŞEHİR,Eskişehir 2 Eylül,https://www.bik.gov.tr/yerel-gazeteler/eskisehir/tumu/eskisehir-2-eylul/
197,ESKİŞEHİR,Eskişehir Anadolu,https://www.bik.gov.tr/yerel-gazeteler/eskisehir/tumu/eskisehir-anadolu/
198,ESKİŞEHİR,Eskişehir Yenigün,https://www.bik.gov.tr/yerel-gazeteler/eskisehir/tumu/eskisehir-yenigun/
199,ESKİŞEHİR,İstikbal,https://www.bik.gov.tr/yerel-gazeteler/eskisehir/tumu/istikbal/
200,ESKİŞEHİR,Milli İrade,https://www.bik.gov.tr/yerel-gazeteler/eskisehir/tumu/milli-irade/
201,ESKİŞEHİR,Sakarya,https://www.bik.gov.tr/yerel-gazeteler/eskisehir/tumu/sakarya/
202,ESKİŞEHİR,Sonhaber,https://www.bik.gov.tr/yerel-gazeteler/eskisehir/tumu/sonhaber/
203,ESKİŞEHİR,Şehir Gazetesi,https://www.bik.gov.tr/yerel-gazeteler/eskisehir/tumu/sehir-gazetesi/
204,GAZİANTEP,Gaziantep Hakimiyet,https://www.bik.gov.tr/yerel-gazeteler/gaziantep/tumu/gaziantep-hakimiyet/
205,GAZİANTEP,Güneydoğu Denge,https://www.bik.gov.tr/yerel-gazeteler/gaziantep/tumu/guneydogu-denge/
206,GİRESUN,Bizim Piraziz,https://www.bik.gov.tr/yerel-gazeteler/giresun/tumu/bizim-piraziz/
207,GİRESUN,Derelinin Sesi,https://www.bik.gov.tr/yerel-gazeteler/giresun/tumu/derelinin-sesi/
208,GİRESUN,Gazete Savaş,https://www.bik.gov.tr/yerel-gazeteler/giresun/tumu/gazete-savas/
209,GİRESUN,Giresun Gündem,https://www.bik.gov.tr/yerel-gazeteler/giresun/tumu/giresun-gundem/
210,GİRESUN,Yeni Giresun,https://www.bik.gov.tr/yerel-gazeteler/giresun/tumu/yeni-giresun/
211,GİRESUN,Yıldız Haber,https://www.bik.gov.tr/yerel-gazeteler/giresun/tumu/yildiz-haber/
212,GÜMÜŞHANE,Gümüşhane Olay,https://www.bik.gov.tr/yerel-gazeteler/gumushane/tumu/gumushane-olay/
213,GÜMÜŞHANE,Gümüşkent,https://www.bik.gov.tr/yerel-gazeteler/gumushane/tumu/gumuskent/
214,GÜMÜŞHANE,Gümüşkoza,https://www.bik.gov.tr/yerel-gazeteler/gumushane/tumu/gumuskoza/
215,GÜMÜŞHANE,Kuşakkaya,https://www.bik.gov.tr/yerel-gazeteler/gumushane/tumu/kusakkaya/
216,GÜMÜŞHANE,Şiran Gündem,https://www.bik.gov.tr/yerel-gazeteler/gumushane/tumu/siran-gundem/
217,HAKKARİ,Halkın Sesi,https://www.bik.gov.tr/yerel-gazeteler/hakkari/tumu/halkin-sesi/
218,HAKKARİ,İl Sesi,https://www.bik.gov.tr/yerel-gazeteler/hakkari/tumu/il-sesi/
219,HAKKARİ,Yüksekova Halkın Sesi,https://www.bik.gov.tr/yerel-gazeteler/hakkari/tumu/yuksekova-halkin-sesi/
220,HATAY,Altınözü Haber,https://www.bik.gov.tr/yerel-gazeteler/hatay/tumu/altinozu-haber/
221,HATAY,Görüntü,https://www.bik.gov.tr/yerel-gazeteler/hatay/tumu/goruntu/
222,HATAY,Güncel Olay,https://www.bik.gov.tr/yerel-gazeteler/hatay/tumu/guncel-olay/
223,HATAY,Hatay Zafer,https://www.bik.gov.tr/yerel-gazeteler/hatay/tumu/hatay-zafer/
224,HATAY,İlk Kurşun,https://www.bik.gov.tr/yerel-gazeteler/hatay/tumu/ilk-kursun/
225,HATAY,Özyurt,https://www.bik.gov.tr/yerel-gazeteler/hatay/tumu/ozyurt/
226,HATAY,Yeni Gün,https://www.bik.gov.tr/yerel-gazeteler/hatay/tumu/yeni-gun/
227,IĞDIR,15 Temmuz,https://www.bik.gov.tr/yerel-gazeteler/igdir/tumu/15-temmuz/
228,IĞDIR,Aras,https://www.bik.gov.tr/yerel-gazeteler/igdir/tumu/aras/
229,IĞDIR,Aydın,https://www.bik.gov.tr/yerel-gazeteler/igdir/tumu/aydin/
230,IĞDIR,Güven,https://www.bik.gov.tr/yerel-gazeteler/igdir/tumu/guven/
231,IĞDIR,Hudut,https://www.bik.gov.tr/yerel-gazeteler/igdir/tumu/hudut/
232,IĞDIR,Iğdır,https://www.bik.gov.tr/yerel-gazeteler/igdir/tumu/igdir/
233,IĞDIR,Iğdır Yaşar,https://www.bik.gov.tr/yerel-gazeteler/igdir/tumu/igdir-yasar/
234,IĞDIR,Yeşil Iğdır,https://www.bik.gov.tr/yerel-gazeteler/igdir/tumu/yesil-igdir/
235,ISPARTA,Çözüm,https://www.bik.gov.tr/yerel-gazeteler/isparta/tumu/cozum/
236,ISPARTA,Gülkent,https://www.bik.gov.tr/yerel-gazeteler/isparta/tumu/gulkent/
237,ISPARTA,Haber,https://www.bik.gov.tr/yerel-gazeteler/isparta/tumu/haber/
238,ISPARTA,Isparta,https://www.bik.gov.tr/yerel-gazeteler/isparta/tumu/isparta/
239,ISPARTA,Isparta Ekspres,https://www.bik.gov.tr/yerel-gazeteler/isparta/tumu/isparta-ekspres/
240,ISPARTA,Keçiborlu Postası,https://www.bik.gov.tr/yerel-gazeteler/isparta/tumu/keciborlu-postasi/
241,ISPARTA,Manşet,https://www.bik.gov.tr/yerel-gazeteler/isparta/tumu/manset/
